"","Sex","Race","Age","CRF","BMI","Risk","Range_upper","Range_lower"
"1","Female","Caucasian",50,0,15,4.1,0,0
"2","Female","Caucasian",50,1,15,6.5,4.5,9.3
"3","Female","Caucasian",50,2,15,10,5.6,17
"4","Female","Caucasian",50,3,15,16,8,27
"5","Female","Caucasian",50,4,15,24,14,36
"6","Female","Caucasian",50,5,15,35,23,43
"7","Female","Caucasian",50,6,15,49,0,0
"8","Female","Caucasian",50,0,20,3.8,0,0
"9","Female","Caucasian",50,1,20,6,4.1,8.3
"10","Female","Caucasian",50,2,20,9.2,5,16
"11","Female","Caucasian",50,3,20,14,6.9,25
"12","Female","Caucasian",50,4,20,21,12,32
"13","Female","Caucasian",50,5,20,30,20,39
"14","Female","Caucasian",50,6,20,42,0,0
"15","Female","Caucasian",50,0,25,3.7,0,0
"16","Female","Caucasian",50,1,25,5.7,3.9,7.8
"17","Female","Caucasian",50,2,25,8.7,4.6,15
"18","Female","Caucasian",50,3,25,13,6.3,23
"19","Female","Caucasian",50,4,25,19,10,30
"20","Female","Caucasian",50,5,25,27,19,36
"21","Female","Caucasian",50,6,25,38,0,0
"22","Female","Caucasian",50,0,30,3.2,0,0
"23","Female","Caucasian",50,1,30,5,3.4,6.8
"24","Female","Caucasian",50,2,30,7.6,4.1,13
"25","Female","Caucasian",50,3,30,11,5.5,21
"26","Female","Caucasian",50,4,30,17,9,27
"27","Female","Caucasian",50,5,30,24,17,32
"28","Female","Caucasian",50,6,30,34,0,0
"29","Female","Caucasian",50,0,35,2.8,0,0
"30","Female","Caucasian",50,1,35,4.4,3,6
"31","Female","Caucasian",50,2,35,6.7,3.5,12
"32","Female","Caucasian",50,3,35,10,4.8,18
"33","Female","Caucasian",50,4,35,15,7.9,24
"34","Female","Caucasian",50,5,35,21,15,28
"35","Female","Caucasian",50,6,35,30,0,0
"36","Female","Caucasian",50,0,40,2.5,0,0
"37","Female","Caucasian",50,1,40,3.8,2.6,5.2
"38","Female","Caucasian",50,2,40,5.9,3.1,10
"39","Female","Caucasian",50,3,40,8.8,4.2,16
"40","Female","Caucasian",50,4,40,13,6.8,21
"41","Female","Caucasian",50,5,40,19,13,25
"42","Female","Caucasian",50,6,40,27,0,0
"43","Female","Caucasian",50,0,45,2.2,0,0
"44","Female","Caucasian",50,1,45,3.4,2.3,4.6
"45","Female","Caucasian",50,2,45,5.2,2.7,9
"46","Female","Caucasian",50,3,45,7.7,3.7,14
"47","Female","Caucasian",50,4,45,11,6,19
"48","Female","Caucasian",50,5,45,17,12,22
"49","Female","Caucasian",50,6,45,23,0,0
"50","Female","Caucasian",55,0,15,6.4,0,0
"51","Female","Caucasian",55,1,15,10,7,14
"52","Female","Caucasian",55,2,15,15,8.8,24
"53","Female","Caucasian",55,3,15,23,13,37
"54","Female","Caucasian",55,4,15,34,21,49
"55","Female","Caucasian",55,5,15,47,34,57
"56","Female","Caucasian",55,6,15,63,0,0
"57","Female","Caucasian",55,0,20,5.9,0,0
"58","Female","Caucasian",55,1,20,9.2,6.4,12
"59","Female","Caucasian",55,2,20,14,7.8,23
"60","Female","Caucasian",55,3,20,21,11,35
"61","Female","Caucasian",55,4,20,30,18,45
"62","Female","Caucasian",55,5,20,42,30,52
"63","Female","Caucasian",55,6,20,56,0,0
"64","Female","Caucasian",55,0,25,5.7,0,0
"65","Female","Caucasian",55,1,25,8.8,6,12
"66","Female","Caucasian",55,2,25,13,7.2,22
"67","Female","Caucasian",55,3,25,19,9.8,33
"68","Female","Caucasian",55,4,25,28,16,42
"69","Female","Caucasian",55,5,25,38,28,49
"70","Female","Caucasian",55,6,25,52,0,0
"71","Female","Caucasian",55,0,30,5,0,0
"72","Female","Caucasian",55,1,30,7.7,5.3,10
"73","Female","Caucasian",55,2,30,12,6.3,19
"74","Female","Caucasian",55,3,30,17,8.6,30
"75","Female","Caucasian",55,4,30,24,14,38
"76","Female","Caucasian",55,5,30,34,25,44
"77","Female","Caucasian",55,6,30,46,0,0
"78","Female","Caucasian",55,0,35,4.4,0,0
"79","Female","Caucasian",55,1,35,6.8,4.6,9
"80","Female","Caucasian",55,2,35,10,5.5,17
"81","Female","Caucasian",55,3,35,15,7.5,26
"82","Female","Caucasian",55,4,35,22,12,34
"83","Female","Caucasian",55,5,35,30,22,40
"84","Female","Caucasian",55,6,35,42,0,0
"85","Female","Caucasian",55,0,40,3.9,0,0
"86","Female","Caucasian",55,1,40,5.9,4,7.8
"87","Female","Caucasian",55,2,40,8.9,4.8,15
"88","Female","Caucasian",55,3,40,13,6.5,24
"89","Female","Caucasian",55,4,40,19,11,30
"90","Female","Caucasian",55,5,40,27,20,36
"91","Female","Caucasian",55,6,40,37,0,0
"92","Female","Caucasian",55,0,45,3.4,0,0
"93","Female","Caucasian",55,1,45,5.2,3.5,6.9
"94","Female","Caucasian",55,2,45,7.9,4.2,13
"95","Female","Caucasian",55,3,45,12,5.7,21
"96","Female","Caucasian",55,4,45,17,9.2,27
"97","Female","Caucasian",55,5,45,24,17,32
"98","Female","Caucasian",55,6,45,33,0,0
"99","Female","Caucasian",60,0,15,8.8,0,0
"100","Female","Caucasian",60,1,15,14,9.8,18
"101","Female","Caucasian",60,2,15,21,12,31
"102","Female","Caucasian",60,3,15,30,18,46
"103","Female","Caucasian",60,4,15,43,29,58
"104","Female","Caucasian",60,5,15,57,44,67
"105","Female","Caucasian",60,6,15,72,0,0
"106","Female","Caucasian",60,0,20,8,0,0
"107","Female","Caucasian",60,1,20,12,8.6,16
"108","Female","Caucasian",60,2,20,18,11,29
"109","Female","Caucasian",60,3,20,27,15,43
"110","Female","Caucasian",60,4,20,38,25,54
"111","Female","Caucasian",60,5,20,51,39,62
"112","Female","Caucasian",60,6,20,66,0,0
"113","Female","Caucasian",60,0,25,7.6,0,0
"114","Female","Caucasian",60,1,25,12,8.1,15
"115","Female","Caucasian",60,2,25,17,9.8,27
"116","Female","Caucasian",60,3,25,25,13,41
"117","Female","Caucasian",60,4,25,35,22,51
"118","Female","Caucasian",60,5,25,47,37,58
"119","Female","Caucasian",60,6,25,61,0,0
"120","Female","Caucasian",60,0,30,6.7,0,0
"121","Female","Caucasian",60,1,30,10,7,13
"122","Female","Caucasian",60,2,30,15,8.5,24
"123","Female","Caucasian",60,3,30,22,12,37
"124","Female","Caucasian",60,4,30,31,19,46
"125","Female","Caucasian",60,5,30,42,32,53
"126","Female","Caucasian",60,6,30,56,0,0
"127","Female","Caucasian",60,0,35,5.8,0,0
"128","Female","Caucasian",60,1,35,8.9,6.1,12
"129","Female","Caucasian",60,2,35,13,7.4,22
"130","Female","Caucasian",60,3,35,19,10,33
"131","Female","Caucasian",60,4,35,27,16,42
"132","Female","Caucasian",60,5,35,38,29,48
"133","Female","Caucasian",60,6,35,51,0,0
"134","Female","Caucasian",60,0,40,5.1,0,0
"135","Female","Caucasian",60,1,40,7.8,5.3,10
"136","Female","Caucasian",60,2,40,12,6.4,19
"137","Female","Caucasian",60,3,40,17,8.8,29
"138","Female","Caucasian",60,4,40,24,14,37
"139","Female","Caucasian",60,5,40,34,25,43
"140","Female","Caucasian",60,6,40,45,0,0
"141","Female","Caucasian",60,0,45,4.5,0,0
"142","Female","Caucasian",60,1,45,6.8,4.7,8.9
"143","Female","Caucasian",60,2,45,10,5.6,17
"144","Female","Caucasian",60,3,45,15,7.6,26
"145","Female","Caucasian",60,4,45,21,12,34
"146","Female","Caucasian",60,5,45,30,22,39
"147","Female","Caucasian",60,6,45,41,0,0
"148","Female","Caucasian",65,0,15,11,0,0
"149","Female","Caucasian",65,1,15,17,13,22
"150","Female","Caucasian",65,2,15,26,17,36
"151","Female","Caucasian",65,3,15,37,24,52
"152","Female","Caucasian",65,4,15,50,37,65
"153","Female","Caucasian",65,5,15,64,53,73
"154","Female","Caucasian",65,6,15,77,0,0
"155","Female","Caucasian",65,0,20,10,0,0
"156","Female","Caucasian",65,1,20,15,11,19
"157","Female","Caucasian",65,2,20,22,14,33
"158","Female","Caucasian",65,3,20,32,20,48
"159","Female","Caucasian",65,4,20,44,32,60
"160","Female","Caucasian",65,5,20,58,47,68
"161","Female","Caucasian",65,6,20,72,0,0
"162","Female","Caucasian",65,0,25,9.3,0,0
"163","Female","Caucasian",65,1,25,14,10,18
"164","Female","Caucasian",65,2,25,21,12,32
"165","Female","Caucasian",65,3,25,29,17,46
"166","Female","Caucasian",65,4,25,40,27,57
"167","Female","Caucasian",65,5,25,54,43,65
"168","Female","Caucasian",65,6,25,68,0,0
"169","Female","Caucasian",65,0,30,8.1,0,0
"170","Female","Caucasian",65,1,30,12,8.6,16
"171","Female","Caucasian",65,2,30,18,11,28
"172","Female","Caucasian",65,3,30,26,15,41
"173","Female","Caucasian",65,4,30,36,23,52
"174","Female","Caucasian",65,5,30,48,39,59
"175","Female","Caucasian",65,6,30,62,0,0
"176","Female","Caucasian",65,0,35,7.1,0,0
"177","Female","Caucasian",65,1,35,11,7.5,14
"178","Female","Caucasian",65,2,35,16,9.1,25
"179","Female","Caucasian",65,3,35,23,13,37
"180","Female","Caucasian",65,4,35,32,20,47
"181","Female","Caucasian",65,5,35,43,34,54
"182","Female","Caucasian",65,6,35,57,0,0
"183","Female","Caucasian",65,0,40,6.2,0,0
"184","Female","Caucasian",65,1,40,9.3,6.5,12
"185","Female","Caucasian",65,2,40,14,7.9,22
"186","Female","Caucasian",65,3,40,20,11,33
"187","Female","Caucasian",65,4,40,28,18,42
"188","Female","Caucasian",65,5,40,39,30,49
"189","Female","Caucasian",65,6,40,51,0,0
"190","Female","Caucasian",65,0,45,5.4,0,0
"191","Female","Caucasian",65,1,45,8.1,5.6,11
"192","Female","Caucasian",65,2,45,12,6.9,20
"193","Female","Caucasian",65,3,45,18,9.4,29
"194","Female","Caucasian",65,4,45,25,15,38
"195","Female","Caucasian",65,5,45,34,27,44
"196","Female","Caucasian",65,6,45,46,0,0
"197","Female","Caucasian",70,0,15,15,0,0
"198","Female","Caucasian",70,1,15,23,17,27
"199","Female","Caucasian",70,2,15,33,23,43
"200","Female","Caucasian",70,3,15,46,33,60
"201","Female","Caucasian",70,4,15,61,49,74
"202","Female","Caucasian",70,5,15,74,68,81
"203","Female","Caucasian",70,6,15,82,0,0
"204","Female","Caucasian",70,0,20,13,0,0
"205","Female","Caucasian",70,1,20,19,14,24
"206","Female","Caucasian",70,2,20,28,19,37
"207","Female","Caucasian",70,3,20,39,27,53
"208","Female","Caucasian",70,4,20,53,41,67
"209","Female","Caucasian",70,5,20,68,61,77
"210","Female","Caucasian",70,6,20,80,0,0
"211","Female","Caucasian",70,0,25,12,0,0
"212","Female","Caucasian",70,1,25,17,13,21
"213","Female","Caucasian",70,2,25,24,16,33
"214","Female","Caucasian",70,3,25,34,22,48
"215","Female","Caucasian",70,4,25,46,35,61
"216","Female","Caucasian",70,5,25,61,53,70
"217","Female","Caucasian",70,6,25,75,0,0
"218","Female","Caucasian",70,0,30,10,0,0
"219","Female","Caucasian",70,1,30,14,11,18
"220","Female","Caucasian",70,2,30,21,13,29
"221","Female","Caucasian",70,3,30,29,19,42
"222","Female","Caucasian",70,4,30,40,30,55
"223","Female","Caucasian",70,5,30,54,46,64
"224","Female","Caucasian",70,6,30,69,0,0
"225","Female","Caucasian",70,0,35,8.6,0,0
"226","Female","Caucasian",70,1,35,12,9.3,16
