#10 year fracture risk for caucasian women in the USA

Age,CRF,BMI,10yr fracture risk %
50,0,15,4.1
50,1,15, 6.5 (4.5-9.3)
50,2,15, 10 (5.6-17)
50,3,15, 16 (8.0-27)
50,4,15, 24 (14-36)
50,5,15, 35 (23-43)
50,6,15,49
50,0,20,3.8
50,1,20, 6.0 (4.1-8.3)
50,2,20, 9.2 (5.0-16)
50,3,20, 14 (6.9-25)
50,4,20, 21 (12-32)
50,5,20, 30 (20-39)
50,6,20,42
50,0,25,3.7
50,1,25, 5.7 (3.9-7.8)
50,2,25, 8.7 (4.6-15)
50,3,25, 13 (6.3-23)
50,4,25, 19 (10-30)
50,5,25, 27 (19-36)
50,6,25,38
50,0,30,3.2
50,1,30, 5.0 (3.4-6.8)
50,2,30, 7.6 (4.1-13)
50,3,30, 11 (5.5-21)
50,4,30, 17 (9.0-27)
50,5,30, 24 (17-32)
50,6,30,34
50,0,35,2.8
50,1,35, 4.4 (3.0-6.0)
50,2,35, 6.7 (3.5-12)
50,3,35, 10 (4.8-18)
50,4,35, 15 (7.9-24)
50,5,35, 21 (15-28)
50,6,35,30
50,0,40,2.5
50,1,40, 3.8 (2.6-5.2)
50,2,40, 5.9 (3.1-10)
50,3,40, 8.8 (4.2-16)
50,4,40, 13 (6.8-21)
50,5,40, 19 (13-25)
50,6,40,27
50,0,45,2.2
50,1,45, 3.4 (2.3-4.6)
50,2,45, 5.2 (2.7-9.0)
50,3,45, 7.7 (3.7-14)
50,4,45, 11 (6.0-19)
50,5,45, 17 (12-22)
50,6,45,23
55,0,15,6.4
55,1,15, 10 (7.0-14)
55,2,15, 15 (8.8-24)
55,3,15, 23 (13-37)
55,4,15, 34 (21-49)
55,5,15, 47 (34-57)
55,6,15,63
55,0,20,5.9
55,1,20, 9.2 (6.4-12)
55,2,20, 14 (7.8-23)
55,3,20, 21 (11-35)
55,4,20, 30 (18-45)
55,5,20, 42 (30-52)
55,6,20,56
55,0,25,5.7
55,1,25, 8.8 (6.0-12)
55,2,25, 13 (7.2-22)
55,3,25, 19 (9.8-33)
55,4,25, 28 (16-42)
55,5,25, 38 (28-49)
55,6,25,52
55,0,30,5
55,1,30, 7.7 (5.3-10)
55,2,30, 12 (6.3-19)
55,3,30, 17 (8.6-30)
55,4,30, 24 (14-38)
55,5,30, 34 (25-44)
55,6,30,46
55,0,35,4.4
55,1,35, 6.8 (4.6-9.0)
55,2,35, 10 (5.5-17)
55,3,35, 15 (7.5-26)
55,4,35, 22 (12-34)
55,5,35, 30 (22-40)
55,6,35,42
55,0,40,3.9
55,1,40, 5.9 (4.0-7.8)
55,2,40, 8.9 (4.8-15)
55,3,40, 13 (6.5-24)
55,4,40, 19 (11-30)
55,5,40, 27 (20-36)
55,6,40,37
55,0,45,3.4
55,1,45, 5.2 (3.5-6.9)
55,2,45, 7.9 (4.2-13)
55,3,45, 12 (5.7-21)
55,4,45, 17 (9.2-27)
55,5,45, 24 (17-32)
55,6,45,33
60,0,15,8.8
60,1,15, 14 (9.8-18)
60,2,15, 21 (12-31)
60,3,15, 30 (18-46)
60,4,15, 43 (29-58)
60,5,15, 57 (44-67)
60,6,15,72
60,0,20,8
60,1,20, 12 (8.6-16)
60,2,20, 18 (11-29)
60,3,20, 27 (15-43)
60,4,20, 38 (25-54)
60,5,20, 51 (39-62)
60,6,20,66
60,0,25,7.6
60,1,25, 12 (8.1-15)
60,2,25, 17 (9.8-27)
60,3,25, 25 (13-41)
60,4,25, 35 (22-51)
60,5,25, 47 (37-58)
60,6,25,61
60,0,30,6.7
60,1,30, 10 (7.0-13)
60,2,30, 15 (8.5-24)
60,3,30, 22 (12-37)
60,4,30, 31 (19-46)
60,5,30, 42 (32-53)
60,6,30,56
60,0,35,5.8
60,1,35, 8.9 (6.1-12)
60,2,35, 13 (7.4-22)
60,3,35, 19 (10-33)
60,4,35, 27 (16-42)
60,5,35, 38 (29-48)
60,6,35,51
60,0,40,5.1
60,1,40, 7.8 (5.3-10)
60,2,40, 12 (6.4-19)
60,3,40, 17 (8.8-29)
60,4,40, 24 (14-37)
60,5,40, 34 (25-43)
60,6,40,45
60,0,45,4.5
60,1,45, 6.8 (4.7-8.9)
60,2,45, 10 (5.6-17)
60,3,45, 15 (7.6-26)
60,4,45, 21 (12-34)
60,5,45, 30 (22-39)
60,6,45,41
65,0,15,11
65,1,15, 17 (13-22)
65,2,15, 26 (17-36)
65,3,15, 37 (24-52)
65,4,15, 50 (37-65)
65,5,15, 64 (53-73)
65,6,15,77
65,0,20,10
65,1,20, 15 (11-19)
65,2,20, 22 (14-33)
65,3,20, 32 (20-48)
65,4,20, 44 (32-60)
65,5,20, 58 (47-68)
65,6,20,72
65,0,25,9.3
65,1,25, 14 (10-18)
65,2,25, 21 (12-32)
65,3,25, 29 (17-46)
65,4,25, 40 (27-57)
65,5,25, 54 (43-65)
65,6,25,68
65,0,30,8.1
65,1,30, 12 (8.6-16)
65,2,30, 18 (11-28)
65,3,30, 26 (15-41)
65,4,30, 36 (23-52)
65,5,30, 48 (39-59)
65,6,30,62
65,0,35,7.1
65,1,35, 11 (7.5-14)
65,2,35, 16 (9.1-25)
65,3,35, 23 (13-37)
65,4,35, 32 (20-47)
65,5,35, 43 (34-54)
65,6,35,57
65,0,40,6.2
65,1,40, 9.3 (6.5-12)
65,2,40, 14 (7.9-22)
65,3,40, 20 (11-33)
65,4,40, 28 (18-42)
65,5,40, 39 (30-49)
65,6,40,51
65,0,45,5.4
65,1,45, 8.1 (5.6-11)
65,2,45, 12 (6.9-20)
65,3,45, 18 (9.4-29)
65,4,45, 25 (15-38)
65,5,45, 34 (27-44)
65,6,45,46
70,0,15,15
70,1,15, 23 (17-27)
70,2,15, 33 (23-43)
70,3,15, 46 (33-60)
70,4,15, 61 (49-74)
70,5,15, 74 (68-81)
70,6,15,82
70,0,20,13
70,1,20, 19 (14-24)
70,2,20, 28 (19-37)
70,3,20, 39 (27-53)
70,4,20, 53 (41-67)
70,5,20, 68 (61-77)
70,6,20,80
70,0,25,12
70,1,25, 17 (13-21)
70,2,25, 24 (16-33)
70,3,25, 34 (22-48)
70,4,25, 46 (35-61)
70,5,25, 61 (53-70)
70,6,25,75
70,0,30,10
70,1,30, 14 (11-18)
70,2,30, 21 (13-29)
70,3,30, 29 (19-42)
70,4,30, 40 (30-55)
70,5,30, 54 (46-64)
70,6,30,69
70,0,35,8.6
70,1,35, 12 (9.3-16)
70,2,35, 18 (12-25)
70,3,35, 25 (16-37)
70,4,35, 35 (26-49)
70,5,35, 48 (40-57)
70,6,35,62
70,0,40,7.5
70,1,40, 11 (8.0-14)
70,2,40, 15 (9.9-22)
70,3,40, 22 (14-33)
70,4,40, 31 (22-43)
70,5,40, 42 (35-51)
70,6,40,56
70,0,45,6.5
70,1,45, 9.4 (6.9-12)
70,2,45, 13 (8.5-19)
70,3,45, 19 (12-28)
70,4,45, 27 (19-38)
70,5,45, 37 (30-45)
70,6,45,49
75,0,15,20
